id,id href,dark,notice,notice 2,notice 3,notice 4,ProblemRating
1767E,https://codeforces.com/problemset/problem/1767/E,Algebra Flash,bitmasks,brute force,dp,graphs,2500
1767D,https://codeforces.com/problemset/problem/1767/D,,combinatorics,constructive algorithms,dp,greedy,1500
1767C,https://codeforces.com/problemset/problem/1767/C,Count Binary Strings,data structures,dp,,,2100
1767B,https://codeforces.com/problemset/problem/1767/B,,data structures,greedy,sortings,,800
1767A,https://codeforces.com/problemset/problem/1767/A,Cut the Triangle,implementation,,,,800
1766F,https://codeforces.com/problemset/problem/1766/F,,flows,,,,2800
1766E,https://codeforces.com/problemset/problem/1766/E,Decomposition,binary search,brute force,data structures,divide and conquer,2300
1766D,https://codeforces.com/problemset/problem/1766/D,,math,number theory,,,1600
1766C,https://codeforces.com/problemset/problem/1766/C,Hamiltonian Wall,dp,implementation,,,1300
1766B,https://codeforces.com/problemset/problem/1766/B,,implementation,,,,1000
1766A,https://codeforces.com/problemset/problem/1766/A,Extremely Round,brute force,implementation,,,800
1765N,https://codeforces.com/problemset/problem/1765/N,,greedy,,,,1500
1765M,https://codeforces.com/problemset/problem/1765/M,Minimum LCM,math,number theory,,,1000
1765L,https://codeforces.com/problemset/problem/1765/L,,brute force,data structures,implementation,,2400
1765K,https://codeforces.com/problemset/problem/1765/K,Torus Path,greedy,math,,,1500
1765J,https://codeforces.com/problemset/problem/1765/J,,graph matchings,math,,,2900
1765I,https://codeforces.com/problemset/problem/1765/I,Infinite Chess,implementation,shortest paths,,,2800
1765H,https://codeforces.com/problemset/problem/1765/H,,binary search,graphs,greedy,implementation,2200
1765G,https://codeforces.com/problemset/problem/1765/G,Guess the String,constructive algorithms,interactive,probabilities,,2600
1765F,https://codeforces.com/problemset/problem/1765/F,,dp,geometry,probabilities,,2200
1765E,https://codeforces.com/problemset/problem/1765/E,Exchange,brute force,math,,,1000
1765D,https://codeforces.com/problemset/problem/1765/D,,binary search,constructive algorithms,two pointers,,1700
1765C,https://codeforces.com/problemset/problem/1765/C,Card Guessing,combinatorics,dp,probabilities,,2600
1765B,https://codeforces.com/problemset/problem/1765/B,,greedy,,,,800
1765A,https://codeforces.com/problemset/problem/1765/A,Access Levels,bitmasks,dsu,flows,graph matchings,2400
1764H,https://codeforces.com/problemset/problem/1764/H,,data structures,,,,3400
1764G3,https://codeforces.com/problemset/problem/1764/G3,Doremy's Perfect DS Class (Hard Version),binary search,interactive,,,3300
1764G2,https://codeforces.com/problemset/problem/1764/G2,,binary search,interactive,,,3000
,,,,,,,
1764G1,https://codeforces.com/problemset/problem/1764/G1,Doremy's Perfect DS Class (Easy Version),binary search,interactive,,,2900
1764F,https://codeforces.com/problemset/problem/1764/F,,brute force,constructive algorithms,dfs and similar,dsu,2500
1764E,https://codeforces.com/problemset/problem/1764/E,Doremy's Number Line,dp,greedy,sortings,,2400
1764D,https://codeforces.com/problemset/problem/1764/D,,combinatorics,dp,math,,2000
1764C,https://codeforces.com/problemset/problem/1764/C,Doremy's City Construction,graphs,greedy,,,1400
1764B,https://codeforces.com/problemset/problem/1764/B,,math,number theory,,,900
1764A,https://codeforces.com/problemset/problem/1764/A,Doremy's Paint,greedy,,,,800
1763F,https://codeforces.com/problemset/problem/1763/F,,data structures,dfs and similar,dp,dsu,3000
1763E,https://codeforces.com/problemset/problem/1763/E,Node Pairs,dp,graphs,math,number theory,2200
1763D,https://codeforces.com/problemset/problem/1763/D,,combinatorics,dp,implementation,math,2200
1763C,https://codeforces.com/problemset/problem/1763/C,Another Array Problem,brute force,constructive algorithms,greedy,,2000
1763B,https://codeforces.com/problemset/problem/1763/B,,binary search,brute force,data structures,implementation,1200
1763A,https://codeforces.com/problemset/problem/1763/A,Absolute Maximization,bitmasks,constructive algorithms,greedy,math,800
1762G,https://codeforces.com/problemset/problem/1762/G,,constructive algorithms,sortings,,,3100
1762F,https://codeforces.com/problemset/problem/1762/F,Good Pairs,binary search,data structures,dp,,2600
1762E,https://codeforces.com/problemset/problem/1762/E,,combinatorics,math,trees,,2600
1762D,https://codeforces.com/problemset/problem/1762/D,GCD Queries,constructive algorithms,interactive,number theory,,2100
1762C,https://codeforces.com/problemset/problem/1762/C,,combinatorics,math,,,1400
1762B,https://codeforces.com/problemset/problem/1762/B,Make Array Good,constructive algorithms,implementation,number theory,sortings,1100
1762A,https://codeforces.com/problemset/problem/1762/A,,greedy,math,number theory,,800
1761G,https://codeforces.com/problemset/problem/1761/G,Centroid Guess,interactive,probabilities,trees,,3500
1761F2,https://codeforces.com/problemset/problem/1761/F2,,combinatorics,dp,math,,3500
1761F1,https://codeforces.com/problemset/problem/1761/F1,Anti-median (Easy Version),dp,math,,,3100
1761E,https://codeforces.com/problemset/problem/1761/E,,binary search,brute force,constructive algorithms,dsu,2400
1761D,https://codeforces.com/problemset/problem/1761/D,Carry Bit,combinatorics,math,,,2100
1761C,https://codeforces.com/problemset/problem/1761/C,,constructive algorithms,dfs and similar,graphs,greedy,1400
1761B,https://codeforces.com/problemset/problem/1761/B,Elimination of a Ring,constructive algorithms,greedy,implementation,,1000
1761A,https://codeforces.com/problemset/problem/1761/A,,brute force,constructive algorithms,,,800
1760G,https://codeforces.com/problemset/problem/1760/G,SlavicG's Favorite Problem,bitmasks,dfs and similar,graphs,,1700
1760F,https://codeforces.com/problemset/problem/1760/F,,binary search,greedy,sortings,,1500
1760E,https://codeforces.com/problemset/problem/1760/E,Binary Inversions,data structures,greedy,math,,1100
1760D,https://codeforces.com/problemset/problem/1760/D,,implementation,two pointers,,,1000
1760C,https://codeforces.com/problemset/problem/1760/C,Advantage,data structures,implementation,sortings,,800
1760B,https://codeforces.com/problemset/problem/1760/B,,greedy,implementation,strings,,800
1760A,https://codeforces.com/problemset/problem/1760/A,Medium Number,implementation,sortings,,,800
1759G,https://codeforces.com/problemset/problem/1759/G,,binary search,constructive algorithms,data structures,greedy,1900
1759F,https://codeforces.com/problemset/problem/1759/F,All Possible Digits,binary search,data structures,greedy,math,1800
1759E,https://codeforces.com/problemset/problem/1759/E,,brute force,dp,sortings,,1500
1759D,https://codeforces.com/problemset/problem/1759/D,Make It Round,brute force,number theory,,,1400
1759C,https://codeforces.com/problemset/problem/1759/C,,greedy,math,shortest paths,,1100
1759B,https://codeforces.com/problemset/problem/1759/B,Lost Permutation,math,,,,800
1759A,https://codeforces.com/problemset/problem/1759/A,,implementation,strings,,,800
1758F,https://codeforces.com/problemset/problem/1758/F,Decent Division,constructive algorithms,data structures,,,3000
1758E,https://codeforces.com/problemset/problem/1758/E,,combinatorics,dfs and similar,dsu,graphs,2500
1758D,https://codeforces.com/problemset/problem/1758/D,Range = √Sum,binary search,brute force,constructive algorithms,math,1800
1758C,https://codeforces.com/problemset/problem/1758/C,,greedy,number theory,,,1400
1758B,https://codeforces.com/problemset/problem/1758/B,XOR = Average,constructive algorithms,,,,900
1758A,https://codeforces.com/problemset/problem/1758/A,,constructive algorithms,strings,,,800
1754B,https://codeforces.com/problemset/problem/1754/B,Kevin and Permutation,constructive algorithms,greedy,math,,800
1754A,https://codeforces.com/problemset/problem/1754/A,,greedy,,,,800
1753F,https://codeforces.com/problemset/problem/1753/F,Minecraft Series,brute force,two pointers,,,3500
1753E,https://codeforces.com/problemset/problem/1753/E,,binary search,brute force,greedy,,3300
1753D,https://codeforces.com/problemset/problem/1753/D,The Beach,constructive algorithms,dfs and similar,graphs,shortest paths,2400
1753C,https://codeforces.com/problemset/problem/1753/C,,dp,math,probabilities,,2000
1753B,https://codeforces.com/problemset/problem/1753/B,Factorial Divisibility,math,number theory,,,1600
1753A2,https://codeforces.com/problemset/problem/1753/A2,,constructive algorithms,dp,greedy,,1500
1753A1,https://codeforces.com/problemset/problem/1753/A1,Make Nonzero Sum (easy version),constructive algorithms,dp,greedy,,1300
1750H,https://codeforces.com/problemset/problem/1750/H,,constructive algorithms,data structures,dp,,3500
1750G,https://codeforces.com/problemset/problem/1750/G,Doping,combinatorics,dp,math,,3300
1750F,https://codeforces.com/problemset/problem/1750/F,,combinatorics,dp,math,strings,2700
1750E,https://codeforces.com/problemset/problem/1750/E,Bracket Cost,binary search,data structures,divide and conquer,dp,2400
1750D,https://codeforces.com/problemset/problem/1750/D,,combinatorics,math,number theory,,1800
1750C,https://codeforces.com/problemset/problem/1750/C,Complementary XOR,constructive algorithms,implementation,,,1400
1750B,https://codeforces.com/problemset/problem/1750/B,,brute force,greedy,implementation,,800
1750A,https://codeforces.com/problemset/problem/1750/A,Indirect Sort,constructive algorithms,implementation,math,,800
1749F,https://codeforces.com/problemset/problem/1749/F,,data structures,dfs and similar,trees,,2800
1749E,https://codeforces.com/problemset/problem/1749/E,Cactus Wall,constructive algorithms,dfs and similar,graphs,shortest paths,2400
1749D,https://codeforces.com/problemset/problem/1749/D,,combinatorics,dp,math,number theory,1900
1749C,https://codeforces.com/problemset/problem/1749/C,Number Game,binary search,data structures,games,greedy,1400
1749B,https://codeforces.com/problemset/problem/1749/B,,greedy,,,,900
1749A,https://codeforces.com/problemset/problem/1749/A,Cowardly Rooks,greedy,implementation,,,800
1748F,https://codeforces.com/problemset/problem/1748/F,,bitmasks,constructive algorithms,,,3000
1748E,https://codeforces.com/problemset/problem/1748/E,Yet Another Array Counting Problem,binary search,data structures,divide and conquer,dp,2300
1748D,https://codeforces.com/problemset/problem/1748/D,,bitmasks,chinese remainder theorem,combinatorics,constructive algorithms,2100
1748C,https://codeforces.com/problemset/problem/1748/C,Zero-Sum Prefixes,brute force,data structures,dp,greedy,1600
1748B,https://codeforces.com/problemset/problem/1748/B,,brute force,implementation,strings,,1400
1748A,https://codeforces.com/problemset/problem/1748/A,The Ultimate Square,math,,,,800
1747E,https://codeforces.com/problemset/problem/1747/E,,combinatorics,dp,math,,2900
1747D,https://codeforces.com/problemset/problem/1747/D,Yet Another Problem,binary search,bitmasks,constructive algorithms,data structures,1900
1747C,https://codeforces.com/problemset/problem/1747/C,,games,,,,1200
1747B,https://codeforces.com/problemset/problem/1747/B,BAN BAN,constructive algorithms,,,,900
1747A,https://codeforces.com/problemset/problem/1747/A,,constructive algorithms,greedy,,,800
1746G,https://codeforces.com/problemset/problem/1746/G,Olympiad Training,binary search,data structures,dp,flows,3500
1746F,https://codeforces.com/problemset/problem/1746/F,,data structures,hashing,probabilities,,2800
1746E2,https://codeforces.com/problemset/problem/1746/E2,Joking (Hard Version),dp,interactive,,,3200
1746E1,https://codeforces.com/problemset/problem/1746/E1,,binary search,constructive algorithms,interactive,ternary search,2500
1746D,https://codeforces.com/problemset/problem/1746/D,Paths on the Tree,dfs and similar,dp,greedy,sortings,1900
1746C,https://codeforces.com/problemset/problem/1746/C,,constructive algorithms,greedy,implementation,math,1300
1746B,https://codeforces.com/problemset/problem/1746/B,Rebellion,constructive algorithms,greedy,two pointers,,800
1746A,https://codeforces.com/problemset/problem/1746/A,,constructive algorithms,greedy,,,800
1744F,https://codeforces.com/problemset/problem/1744/F,MEX vs MED,math,two pointers,,,2000
1744E2,https://codeforces.com/problemset/problem/1744/E2,,brute force,math,number theory,,1900
1744E1,https://codeforces.com/problemset/problem/1744/E1,Divisible Numbers (easy version),brute force,math,number theory,,1500
1744D,https://codeforces.com/problemset/problem/1744/D,,greedy,math,sortings,,1200
1744C,https://codeforces.com/problemset/problem/1744/C,Traffic Light,binary search,implementation,two pointers,,1000
1744B,https://codeforces.com/problemset/problem/1744/B,,implementation,math,,,800
1744A,https://codeforces.com/problemset/problem/1744/A,Number Replacement,greedy,implementation,,,800
1743G,https://codeforces.com/problemset/problem/1743/G,,bitmasks,combinatorics,constructive algorithms,data structures,3000
1743F,https://codeforces.com/problemset/problem/1743/F,Intersection and Union,data structures,dp,matrices,probabilities,2300
1743E,https://codeforces.com/problemset/problem/1743/E,,binary search,dp,,,2400
,,,,,,,
1743D,https://codeforces.com/problemset/problem/1743/D,Problem with Random Tests,brute force,dp,greedy,probabilities,1700
1743C,https://codeforces.com/problemset/problem/1743/C,,constructive algorithms,dp,greedy,,1100
1743B,https://codeforces.com/problemset/problem/1743/B,Permutation Value,constructive algorithms,greedy,,,800
1743A,https://codeforces.com/problemset/problem/1743/A,,brute force,combinatorics,implementation,math,800
1742G,https://codeforces.com/problemset/problem/1742/G,Orray,bitmasks,brute force,greedy,math,1500
1742F,https://codeforces.com/problemset/problem/1742/F,,constructive algorithms,greedy,strings,,1500
1742E,https://codeforces.com/problemset/problem/1742/E,Scuza,binary search,greedy,math,,1200
1742D,https://codeforces.com/problemset/problem/1742/D,,brute force,greedy,number theory,,1100
1742C,https://codeforces.com/problemset/problem/1742/C,Stripes,implementation,,,,900
1742B,https://codeforces.com/problemset/problem/1742/B,,greedy,implementation,sortings,,800
1742A,https://codeforces.com/problemset/problem/1742/A,Sum,implementation,,,,800
1741G,https://codeforces.com/problemset/problem/1741/G,,bitmasks,brute force,dfs and similar,dp,2200
1741F,https://codeforces.com/problemset/problem/1741/F,Multi-Colored Segments,binary search,data structures,math,sortings,2000
1741E,https://codeforces.com/problemset/problem/1741/E,,dp,,,,1600
1741D,https://codeforces.com/problemset/problem/1741/D,Masha and a Beautiful Tree,dfs and similar,divide and conquer,graphs,sortings,1300
1741C,https://codeforces.com/problemset/problem/1741/C,,brute force,greedy,math,two pointers,1100
1741B,https://codeforces.com/problemset/problem/1741/B,Funny Permutation,constructive algorithms,math,,,800
1741A,https://codeforces.com/problemset/problem/1741/A,,implementation,implementation,strings,,800
1740I,https://codeforces.com/problemset/problem/1740/I,Arranging Crystal Balls,data structures,divide and conquer,divide and conquer,dp,3500
1740H,https://codeforces.com/problemset/problem/1740/H,,data structures,trees,,,3300
1740G,https://codeforces.com/problemset/problem/1740/G,Dangerous Laser Power,constructive algorithms,dsu,sortings,,3100
1740F,https://codeforces.com/problemset/problem/1740/F,,combinatorics,dp,math,,2600
1740E,https://codeforces.com/problemset/problem/1740/E,Hanging Hearts,constructive algorithms,data structures,dfs and similar,dp,1800
1740D,https://codeforces.com/problemset/problem/1740/D,,constructive algorithms,data structures,,,1500
1740C,https://codeforces.com/problemset/problem/1740/C,Bricks and Bags,constructive algorithms,games,greedy,sortings,1400
1740B,https://codeforces.com/problemset/problem/1740/B,,geometry,greedy,sortings,,800
1740A,https://codeforces.com/problemset/problem/1740/A,Factorise N+M,constructive algorithms,number theory,,,800
1739F,https://codeforces.com/problemset/problem/1739/F,,bitmasks,data structures,dp,string suffix structures,2600
1739E,https://codeforces.com/problemset/problem/1739/E,Cleaning Robot,bitmasks,dp,,,2400
1739D,https://codeforces.com/problemset/problem/1739/D,,binary search,data structures,dfs and similar,graphs,1900
1739C,https://codeforces.com/problemset/problem/1739/C,Card Game,combinatorics,constructive algorithms,dp,games,1500
1739B,https://codeforces.com/problemset/problem/1739/B,,constructive algorithms,greedy,math,,1100
1739A,https://codeforces.com/problemset/problem/1739/A,Immobile Knight,implementation,,,,800
1738H,https://codeforces.com/problemset/problem/1738/H,,data structures,strings,,,3300
1738G,https://codeforces.com/problemset/problem/1738/G,Anti-Increasing Addicts,constructive algorithms,dp,greedy,math,2900
1738F,https://codeforces.com/problemset/problem/1738/F,,constructive algorithms,dsu,graphs,greedy,2400
1738E,https://codeforces.com/problemset/problem/1738/E,Balance Addicts,combinatorics,dp,math,two pointers,2300
1738D,https://codeforces.com/problemset/problem/1738/D,,constructive algorithms,data structures,dfs and similar,dsu,1900
1738C,https://codeforces.com/problemset/problem/1738/C,Even Number Addicts,dp,games,greedy,math,1500
1738B,https://codeforces.com/problemset/problem/1738/B,,constructive algorithms,greedy,math,sortings,1200
1738A,https://codeforces.com/problemset/problem/1738/A,Glory Addicts,greedy,implementation,sortings,,800
1737G,https://codeforces.com/problemset/problem/1737/G,,binary search,data structures,,,3500
1737F,https://codeforces.com/problemset/problem/1737/F,Ela and Prime GCD,constructive algorithms,math,number theory,,3300
1737E,https://codeforces.com/problemset/problem/1737/E,,combinatorics,dp,math,probabilities,2500
1737D,https://codeforces.com/problemset/problem/1737/D,Ela and the Wiring Wizard,brute force,dp,graphs,greedy,2200
1737C,https://codeforces.com/problemset/problem/1737/C,,constructive algorithms,games,implementation,math,1500
1737B,https://codeforces.com/problemset/problem/1737/B,Ela's Fitness and the Luxury Number,binary search,implementation,math,,1300
1737A,https://codeforces.com/problemset/problem/1737/A,,greedy,implementation,strings,,900
1736E,https://codeforces.com/problemset/problem/1736/E,Swap and Take,dp,greedy,,,2600
1736D,https://codeforces.com/problemset/problem/1736/D,,constructive algorithms,geometry,greedy,implementation,2200
1736C2,https://codeforces.com/problemset/problem/1736/C2,Good Subarrays (Hard Version),binary search,data structures,dp,two pointers,2400
1736C1,https://codeforces.com/problemset/problem/1736/C1,,binary search,data structures,schedules,two pointers,1300
1736B,https://codeforces.com/problemset/problem/1736/B,Playing with GCD,math,number theory,,,1200
1736A,https://codeforces.com/problemset/problem/1736/A,,brute force,greedy,sortings,,800
1735F,https://codeforces.com/problemset/problem/1735/F,Pebbles and Beads,data structures,geometry,,,2900
1735E,https://codeforces.com/problemset/problem/1735/E,,constructive algorithms,data structures,graph matchings,greedy,2400
1735D,https://codeforces.com/problemset/problem/1735/D,Meta-set,brute force,combinatorics,data structures,hashing,1700
1735C,https://codeforces.com/problemset/problem/1735/C,,dfs and similar,dsu,graphs,greedy,1400
1735B,https://codeforces.com/problemset/problem/1735/B,Tea with Tangerines,greedy,math,,,900
1735A,https://codeforces.com/problemset/problem/1735/A,,constructive algorithms,greedy,math,,800
1734F,https://codeforces.com/problemset/problem/1734/F,Zeros and Ones,bitmasks,divide and conquer,dp,math,2500
1734E,https://codeforces.com/problemset/problem/1734/E,,constructive algorithms,number theory,,,2100
1734D,https://codeforces.com/problemset/problem/1734/D,Slime Escape,data structures,dp,greedy,two pointers,1800
1734C,https://codeforces.com/problemset/problem/1734/C,,greedy,math,,,1200
1734B,https://codeforces.com/problemset/problem/1734/B,"Bright, Nice, Brilliant",constructive algorithms,,,,800
1734A,https://codeforces.com/problemset/problem/1734/A,,brute force,greedy,sortings,,800
1733E,https://codeforces.com/problemset/problem/1733/E,Conveyor,constructive algorithms,dp,math,,2700
1733D2,https://codeforces.com/problemset/problem/1733/D2,,dp,greedy,,,2000
1733D1,https://codeforces.com/problemset/problem/1733/D1,Zero-One (Easy Version),constructive algorithms,greedy,math,,1400
1733C,https://codeforces.com/problemset/problem/1733/C,,constructive algorithms,sortings,,,1300
1733B,https://codeforces.com/problemset/problem/1733/B,Rule of League,constructive algorithms,math,,,900
1733A,https://codeforces.com/problemset/problem/1733/A,,greedy,sortings,,,800
1732E,https://codeforces.com/problemset/problem/1732/E,Location,data structures,dp,math,number theory,2800
1732D2,https://codeforces.com/problemset/problem/1732/D2,,brute force,data structures,number theory,,2400
1732D1,https://codeforces.com/problemset/problem/1732/D1,Balance (Easy version),brute force,data structures,implementation,number theory,1500
1732C2,https://codeforces.com/problemset/problem/1732/C2,,binary search,bitmasks,brute force,greedy,2100
1732C1,https://codeforces.com/problemset/problem/1732/C1,Sheikh (Easy version),binary search,bitmasks,greedy,two pointers,1800
1732B,https://codeforces.com/problemset/problem/1732/B,,brute force,dp,greedy,implementation,900
1732A,https://codeforces.com/problemset/problem/1732/A,Bestie,brute force,combinatorics,constructive algorithms,implementation,1000
1731F,https://codeforces.com/problemset/problem/1731/F,,brute force,combinatorics,dp,fft,2500
1731E,https://codeforces.com/problemset/problem/1731/E,Graph Cost,dp,greedy,math,number theory,2000
1731D,https://codeforces.com/problemset/problem/1731/D,,binary search,brute force,data structures,dp,1700
1731C,https://codeforces.com/problemset/problem/1731/C,Even Subarrays,bitmasks,brute force,hashing,math,1700
1731B,https://codeforces.com/problemset/problem/1731/B,,greedy,math,,,1100
1731A,https://codeforces.com/problemset/problem/1731/A,Joey Takes Money,greedy,math,,,800
1730F,https://codeforces.com/problemset/problem/1730/F,,bitmasks,data structures,dp,,2700
1730E,https://codeforces.com/problemset/problem/1730/E,Maximums and Minimums,combinatorics,data structures,divide and conquer,number theory,2700
1730D,https://codeforces.com/problemset/problem/1730/D,,constructive algorithms,strings,two pointers,,2200
1730C,https://codeforces.com/problemset/problem/1730/C,Minimum Notation,data structures,greedy,math,sortings,1200
1730B,https://codeforces.com/problemset/problem/1730/B,,binary search,geometry,greedy,implementation,1600
1730A,https://codeforces.com/problemset/problem/1730/A,Planets,data structures,greedy,sortings,,800
1729G,https://codeforces.com/problemset/problem/1729/G,,combinatorics,dp,hashing,strings,2100
1729F,https://codeforces.com/problemset/problem/1729/F,Kirei and the Linear Function,hashing,math,,,1900
1729E,https://codeforces.com/problemset/problem/1729/E,,interactive,probabilities,,,1800
1729D,https://codeforces.com/problemset/problem/1729/D,Friends and the Restaurant,greedy,sortings,two pointers,,1200
1729C,https://codeforces.com/problemset/problem/1729/C,,constructive algorithms,strings,,,1100
1729B,https://codeforces.com/problemset/problem/1729/B,Decode String,greedy,strings,,,800
1729A,https://codeforces.com/problemset/problem/1729/A,,math,,,,800
1728G,https://codeforces.com/problemset/problem/1728/G,Illumination,binary search,bitmasks,brute force,combinatorics,2700
1728F,https://codeforces.com/problemset/problem/1728/F,,flows,graph matchings,greedy,,3100
,,,,,,,
1728E,https://codeforces.com/problemset/problem/1728/E,Red-Black Pepper,brute force,data structures,greedy,math,2300
1728D,https://codeforces.com/problemset/problem/1728/D,,constructive algorithms,dp,games,two pointers,1800
1728C,https://codeforces.com/problemset/problem/1728/C,Digital Logarithm,data structures,greedy,sortings,,1400
1728B,https://codeforces.com/problemset/problem/1728/B,,constructive algorithms,greedy,,,800
1728A,https://codeforces.com/problemset/problem/1728/A,Colored Balls: Revisited,brute force,greedy,implementation,sortings,800
1726H,https://codeforces.com/problemset/problem/1726/H,,binary search,geometry,implementation,math,3500
1726G,https://codeforces.com/problemset/problem/1726/G,A Certain Magical Party,combinatorics,data structures,greedy,sortings,3300
1726F,https://codeforces.com/problemset/problem/1726/F,,data structures,greedy,schedules,shortest paths,2900
1726E,https://codeforces.com/problemset/problem/1726/E,Almost Perfect,combinatorics,fft,math,,2400
1726D,https://codeforces.com/problemset/problem/1726/D,,brute force,constructive algorithms,dfs and similar,dsu,2000
1726C,https://codeforces.com/problemset/problem/1726/C,Jatayu's Balanced Bracket Sequence,data structures,dsu,graphs,greedy,1300
1726B,https://codeforces.com/problemset/problem/1726/B,,bitmasks,constructive algorithms,math,,1100
1726A,https://codeforces.com/problemset/problem/1726/A,Mainak and Array,greedy,math,,,900
